,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2015-09-11,46401.0,17.8700008392334,7.659999847412109,10.536846160888672,16.399999618530273,6.679999828338623,5.2601728439331055,19.450000762939453,4.650000095367432,3.553333044052124
2015-09-14,47282.0,18.440000534057617,7.71999979019165,11.007241249084473,17.079999923706055,6.300000190734863,5.516074180603027,19.149999618530273,4.28000020980835,3.680000066757202
2015-09-15,47364.0,18.93000030517578,7.650000095367432,11.218918800354004,17.700000762939453,6.380000114440918,5.480532169342041,18.600000381469727,4.25,3.799999952316284
2015-09-16,48553.0,19.3799991607666,8.140000343322754,11.63757038116455,17.8700008392334,6.480000019073486,5.594265937805176,19.040000915527344,4.429999828338623,3.9600000381469727
2015-09-17,48551.0,19.420000076293945,7.860000133514404,11.604642868041992,17.829999923706055,6.46999979019165,5.6084818840026855,19.489999771118164,4.360000133514404,3.7899999618530273
2015-09-18,47264.0,18.799999237060547,7.599999904632568,10.974312782287598,16.829999923706055,6.389999866485596,5.3667988777160645,19.90999984741211,4.389999866485596,3.7200000286102295
2015-09-21,46590.0,18.56999969482422,7.300000190734863,10.635628700256348,16.290000915527344,6.21999979019165,5.2317399978637695,19.93000030517578,4.260000228881836,3.6533329486846924
2015-09-22,46265.0,18.770000457763672,6.96999979019165,10.67796516418457,16.280000686645508,6.119999885559082,5.295714855194092,19.459999084472656,3.9100000858306885,3.6966660022735596
2015-09-23,45340.0,18.780000686645508,6.820000171661377,10.315760612487793,15.699999809265137,5.900000095367432,5.118007183074951,18.899999618530273,3.309999942779541,3.6466660499572754
2015-09-24,45292.0,18.559999465942383,6.960000038146973,10.43806266784668,15.729999542236328,6.099999904632568,5.082465171813965,18.450000762939453,3.5399999618530273,3.7033329010009766
2015-09-25,44831.0,17.860000610351562,6.820000171661377,10.198162078857422,15.25,6.110000133514404,4.975840091705322,17.93000030517578,3.4100000858306885,3.663332939147949
2015-09-28,43957.0,18.239999771118164,6.440000057220459,9.944149017333984,14.489999771118164,5.880000114440918,4.990056037902832,16.59000015258789,3.4200000762939453,3.5933330059051514
2015-09-29,44132.0,18.670000076293945,6.590000152587891,9.882996559143066,14.329999923706055,5.679999828338623,4.990056037902832,16.479999542236328,3.430000066757202,3.5833330154418945
2015-09-30,45059.0,19.06999969482422,7.239999771118164,10.075859069824219,15.199999809265137,5.46999979019165,5.075356960296631,16.579999923706055,3.3499999046325684,3.6933329105377197
2015-10-01,45313.0,18.760000228881836,7.019999980926514,10.212273597717285,14.90999984741211,5.449999809265137,5.132223129272461,17.219999313354492,3.119999885559082,3.793333053588867
2015-10-02,47033.0,19.399999618530273,7.769999980926514,10.588589668273926,15.920000076293945,5.659999847412109,5.27439022064209,17.81999969482422,3.1600000858306885,3.926666021347046
2015-10-05,47598.0,19.850000381469727,7.820000171661377,10.899049758911133,16.15999984741211,5.960000038146973,5.395232200622559,18.139999389648438,3.299999952316284,3.8499999046325684
2015-10-06,47735.0,20.149999618530273,8.1899995803833,11.00253677368164,16.530000686645508,6.010000228881836,5.473423957824707,18.309999465942383,3.319999933242798,3.846666097640991
2015-10-07,48914.0,20.270000457763672,8.470000267028809,11.397668838500977,17.93000030517578,6.429999828338623,5.644023895263672,20.149999618530273,3.390000104904175,3.856666088104248
2015-10-08,49107.0,20.469999313354492,8.75,11.407076835632324,17.670000076293945,6.670000076293945,5.665349006652832,20.059999465942383,3.6700000762939453,3.890000104904175
2015-10-09,49338.0,21.030000686645508,8.800000190734863,11.284773826599121,18.510000228881836,6.710000038146973,5.707999229431152,20.790000915527344,3.7300000190734863,3.9733328819274902
2015-10-13,47363.0,20.850000381469727,8.130000114440918,10.668557167053223,16.969999313354492,6.300000190734863,5.487639904022217,18.579999923706055,3.299999952316284,3.923332929611206
2015-10-14,46710.0,20.950000762939453,7.960000038146973,10.612109184265137,16.809999465942383,6.309999942779541,5.359690189361572,18.700000762939453,3.299999952316284,3.7666659355163574
